Sprachen,Bundesland,Ort
Italienisch,Baden-Württemberg,Baden-Baden
"Kurdisch (Zaza), Türkisch",Baden-Württemberg,Ludwigshafen<br />Mannheim
Portugiesisch,Baden-Württemberg,Heidelberg
Englisch,Baden-Württemberg,Heidelberg
Englisch,Baden-Württemberg,Göppingen
"Polnisch, Tschechisch",Baden-Württemberg,Tauberbischofsheim
Spanisch,Baden-Württemberg,Weinheim
Italienisch,Baden-Württemberg,
Italienisch,Baden-Württemberg,Karlsruhe
"Englisch, Spanisch",Baden-Württemberg,Donaueschingen<br />Donaueschingen
Englisch,Baden-Württemberg,Dossenheim
Polnisch,Baden-Württemberg,Heidelberg
Spanisch,Baden-Württemberg,Filderstadt
Polnisch,Baden-Württemberg,Heidelberg
Englisch,Baden-Württemberg,Ludwigsburg
"Arabisch, Kurdisch (Bahdinani), Kurdisch (Kurmandschi - Nordkurdisch), Kurdisch (Sorani - Zentralkurdisch)",Baden-Württemberg,Kassel<br />Mannheim
"Englisch, Spanisch",Baden-Württemberg,Wehr
"Kurdisch (Zaza), Türkisch",Baden-Württemberg,Stuttgart<br />Stuttgart
"Englisch, Polnisch",Baden-Württemberg,Auenwald- Hohnweiler
Englisch,Baden-Württemberg,Schwetzingen
Englisch,Baden-Württemberg,Karlsruhe
Tschechisch,Baden-Württemberg,Pforzheim
Italienisch,Baden-Württemberg,Heidelberg
Spanisch,Baden-Württemberg,Bietigheim-Bissingen<br />Bietigheim-Bissingen
Russisch,Baden-Württemberg,Ludwigsburg
"Englisch, Spanisch",Baden-Württemberg,Waiblingen
Spanisch,Baden-Württemberg,Passau<br />Passau
Türkisch,Baden-Württemberg,Stuttgart
Türkisch,Baden-Württemberg,Offenburg
Spanisch,Baden-Württemberg,Heidelberg
Polnisch,Baden-Württemberg,Baden-Baden
Niederländisch,Baden-Württemberg,Weinstadt-Strümpfelbach
"Englisch, Französisch",Baden-Württemberg,Laudenbach
Spanisch,Baden-Württemberg,Heidelberg
Türkisch,Baden-Württemberg,Haßmersheim
Russisch,Baden-Württemberg,Engstingen
Russisch,Baden-Württemberg,"Waterloo, ON, N2T, 1Z6"
Russisch,Baden-Württemberg,Dettenhausen<br />Stuttgart
Französisch,Baden-Württemberg,Baden-Baden<br />Baden-Baden
"Arabisch, Englisch, Französisch",Baden-Württemberg,Baltmannsweiler
Englisch,Baden-Württemberg,Kraichtal-Münzesheim
Englisch,Baden-Württemberg,
"Farsi, Persisch",Baden-Württemberg,
Rumänisch,Baden-Württemberg,Lahr
Tschechisch,Baden-Württemberg,Freudenberg-Etsdorf
Französisch,Baden-Württemberg,Immenstaad
Rumänisch,Baden-Württemberg,Mannheim
"Englisch, Französisch",Baden-Württemberg,Neckargemünd
Polnisch,Baden-Württemberg,Erlenbach
Italienisch,Baden-Württemberg,Puerto Esperanza (Misiones)
Russisch,Baden-Württemberg,Rastatt
Englisch,Baden-Württemberg,Wilhelmsfeld
Ewe,Baden-Württemberg,Freiburg
Spanisch,Baden-Württemberg,Esslingen<br />Esslingen
"Englisch, Russisch",Baden-Württemberg,Bergheim
"Russisch, Ukrainisch",Baden-Württemberg,Ulm
"Englisch, Portugiesisch",Baden-Württemberg,Mannheim
"Englisch, Französisch",Baden-Württemberg,Sandhausen
"Aramäisch (Turoyo, Surayt)",Baden-Württemberg,Tauberbischofsheim
Französisch,Baden-Württemberg,Talkau
"Französisch, Russisch",Baden-Württemberg,Heidelberg
Italienisch,Baden-Württemberg,Heidelberg
"Galizisch, Spanisch",Baden-Württemberg,Hirschhorn
Italienisch,Baden-Württemberg,Freiburg
Griechisch (Neugriechisch),Baden-Württemberg,Trossingen
Englisch,Baden-Württemberg,Dossenheim 
Russisch,Baden-Württemberg,Reutlingen
"Französisch, Russisch",Baden-Württemberg,
"Chinesisch, Englisch",Baden-Württemberg,Lauda-Königshofen
Portugiesisch,Baden-Württemberg,Mannheim
Englisch,Baden-Württemberg,Dossenheim
Türkisch,Baden-Württemberg,Wörth am Rhein
Polnisch,Baden-Württemberg,Herrenberg
"Französisch, Rumänisch",Baden-Württemberg,Karlsruhe
Thailändisch (Thai),Baden-Württemberg,Heidelberg
Englisch,Baden-Württemberg,Marikina City
Englisch,Baden-Württemberg,Palma de Mallorca
Englisch,Baden-Württemberg,
"Französisch, Niederländisch",Baden-Württemberg,Berlin
Englisch,Baden-Württemberg,Rottenburg
"Kurdisch (Kurmandschi - Nordkurdisch), Türkisch",Baden-Württemberg,Mannheim
Türkisch,Baden-Württemberg,Bad Liebenzell
Englisch,Baden-Württemberg,Heidelberg
Italienisch,Baden-Württemberg,
Lettisch,Baden-Württemberg,Karlsruhe
Englisch,Baden-Württemberg,
Russisch,Baden-Württemberg,Mannheim 
Polnisch,Baden-Württemberg,Heidelberg
"Englisch, Französisch",Baden-Württemberg,Weil der Stadt
Englisch,Baden-Württemberg,Gundelsheim
"Französisch, Spanisch",Baden-Württemberg,Strassbourg
Englisch,Baden-Württemberg,Ravensburg
Ungarisch,Baden-Württemberg,Zell u.A.
Russisch,Baden-Württemberg,Neudenau
Französisch,Baden-Württemberg,Heidelberg
Dari,Baden-Württemberg,Heidelberg
Englisch,Baden-Württemberg,Stuttgart
Englisch,Baden-Württemberg,Ulm
Italienisch,Baden-Württemberg,Madesimo (SO)<br />Madesimo (SO)
Russisch,Baden-Württemberg,Neustetten-Remmingsheim
"Dari, Paschtu (Paschto, Pashto)",Baden-Württemberg,Heidelberg
Englisch,Baden-Württemberg,Schwäbisch Gmünd
Englisch,Baden-Württemberg,Alzey
"Dari, Paschtu (Paschto, Pashto), Persisch",Baden-Württemberg,Ettlingen
Rumänisch,Baden-Württemberg,Pfinztal
Arabisch,Baden-Württemberg,Heidelberg
Tschechisch,Baden-Württemberg,Mannheim
Kurdisch (Kurmandschi - Nordkurdisch),Baden-Württemberg,<br />Stuttgart
Englisch,Baden-Württemberg,Erligheim<br />Erligheim
Spanisch,Baden-Württemberg,Heidelberg
Englisch,Baden-Württemberg,Offenburg
Französisch,Baden-Württemberg,Wörth am Rhein
Slowenisch,Baden-Württemberg,Ditzingen
Russisch,Baden-Württemberg,Friedrichshafen
Spanisch,Baden-Württemberg,Bühl
Türkisch,Baden-Württemberg,Offenburg
Englisch,Baden-Württemberg,Löchgau
Italienisch,Baden-Württemberg,
