"Codes","Stadtteil","Flächennutzung Gesamtfläche  2011","Flächennutzung Gesamtfläche  2012","Flächennutzung Gebäude- und Freiflächen  2011","Flächennutzung Gebäude- und Freiflächen  2012","Flächennutzung Betriebsflächen  2011","Flächennutzung Betriebsflächen  2012","Flächennutzung Erholungsflächen  2011","Flächennutzung Erholungsflächen  2012","Flächennutzung Verkehrsflächen  2011","Flächennutzung Verkehrsflächen  2012","Flächennutzung Landwirtschaftsflächen  2011","Flächennutzung Landwirtschaftsflächen  2012","Flächennutzung Waldflächen  2011","Flächennutzung Waldflächen  2012","Flächennutzung Wasserflächen  2011","Flächennutzung Wasserflächen  2012","Flächennutzung Flächen anderer Nutzung  2011","Flächennutzung Flächen anderer Nutzung  2012","Siedlungs- und Verkehrsflächen Insgesamt  2011","Siedlungs- und Verkehrsflächen Insgesamt  2012","Siedlungs- und Verkehrsflächen Betriebsflächen ohne Gruben und Steinbrüche  2011","Siedlungs- und Verkehrsflächen Betriebsflächen ohne Gruben und Steinbrüche  2012","Siedlungs- und Verkehrsflächen Friedhöfe  2011","Siedlungs- und Verkehrsflächen Friedhöfe  2012"
"1","Altstadt","204,0","204,0","93,9","93,9","0,9","0,9","28,7","28,8","66,2","66,2","0,0","0,0","0,0","0,0","13,0","13,0","1,3","1,3","190,9","190,9","0,9","0,9","1,2","1,2"
"2","Innenstadt","","","","","","","","","","","","","","","","","","","","","","","",""
"3","Bahnhofsviertel","52,6","52,6","32,7","32,7","0,0","0,0","2,8","2,9","13,7","13,7","0,0","0,0","0,0","0,0","3,3","3,3","0,0","0","49,3","49,3","0","0","0","0"
"4","Westend-Süd","242,0","242,0","180,1","180,1","0,6","0,6","4,2","4,1","57,0","57,0","0,1","0,1","0,0","0,0","0,0","0,0","0,0","0","241,9","241,9","0,6","0,6","0","0"
"5","Westend-Nord","167,3","167,3","96,0","96,0","0,0","0,0","36,0","36,0","35,2","35,2","0,0","0,0","0,0","0,0","0,0","0,0","0,1","0,1","167,2","167,2","0","0","0","0"
"6","Nordend-West","307,1","307,1","170,5","170,5","0,0","0,0","12,0","12,0","63,6","63,6","0,0","0,0","0,0","0,0","0,2","0,2","60,8","60,8","306,9","306,9","0","0","60,8","60,8"
"7","Nordend-Ost","168,7","168,7","94,9","95,0","1,3","1,3","17,0","17,0","43,6","43,5","11,9","11,8","0,0","0,0","0,1","0,1","0,0","0","156,7","156,8","1,3","1,3","0","0"
"8","Ostend","643,5","643,3","292,4","292,7","46,8","46,8","47,2","47,0","172,1","172,0","0,7","0,7","27,9","27,9","56,4","56,2","0,1","0,1","558,5","558,5","46,8","46,8","0","0"
"9","Bornheim","265,5","265,5","123,1","122,3","0,0","0,0","41,8","42,6","71,3","71,3","19,6","19,6","0,0","0,0","0,0","0,0","9,7","9,7","244,8","244,8","0","0","8,6","8,6"
"10","Gutleutviertel","","","","","","","","","","","","","","","","","","","","","","","",""
